Region,Scenario,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
World,RCP-6.0,CO2 emissions - Total,PgC/yr,7.884,9.167,9.389,9.3728,9.357,9.3973,9.438,10.1391,10.840,11.71015,12.580,13.573,14.566,15.52135,16.477,17.0007,17.525,16.04015,14.556,14.24515,13.935
World,RCP-4.5,CO2 emissions - Total,PgC/yr,7.884,9.167,9.518,9.8652,10.212,10.691,11.170,11.3531,11.537,11.40825,11.280,10.43255,9.585,8.40355,7.222,5.70595,4.190,4.2048,4.220,4.23445,4.249
World,RCP-2.6,CO2 emissions - Total,PgC/yr,7.884,9.167,9.878,10.06915,10.260,9.10305,7.946,6.48475,5.024,4.20525,3.387,2.7106,2.035,1.34415,0.654,0.38535,0.117,-0.07555,-0.268,-0.3438,-0.420
World,RCP-8.5,CO2 emissions - Total,PgC/yr,7.884,9.167,9.969,11.2067,12.444,13.499,14.554,15.9928,17.432,19.1061,20.781,22.4389,24.097,25.2357,26.374,27.04465,27.715,28.1229,28.531,28.6739,28.817
